njuo'lgâduslâš njuo'lgâduslii
njuo'râsvuotâ njuo'râsvuođâ
njuoLâ njuolâ
njuolgâs njuol'gâs
njuolâs njuollâs
njuopâ njuop'puu
njuorâs njuorrâs
njuoskâs njuos'kâs
N _ njuunij mie'ld
njuuppâh njuuppâheh
njuá'rádâh njuá'ráduv
njuá'skáduh njuá'skáduv
njuáRi njuári
njuáci njuási
njuág'gá njuágá
njuálgus njuál'gus
njyeb'žilvuotâ njyeb'žilvuođâ
njäbbi njääbi
njälmi njäälmi
njäälgis njálgá
njäävhis njávkkás
noRe nore
nocce noce
nohhee mááNu
nolppo no'lpo
nommâ noomâ
noppe nope
norkkâ noorhâ
novdâ noovdâ
nuJe nuje
nubbe nube
nubbááš nubbáá
nuhostâh nuhostuv
N _ nuo'skij sár'noo
nuoRâ nuorâ
nuor'ttâ nuortâ
nuot'tâ nuotâ
nurde nu'rde
nurkke nu'rhe
nursse nu'rse
nuske nu'ske
nuubiš nubbii
nuurâs nuurrâs
nuuvgâs nuvgâs
nuuđhâlm nuđhâlm
nuvgâ nuuvgâ
nuái'di nuáidi
nuár'vi nuárvi
nuárvui nuor'vuu
nuás'ki nuáski
nuáv'lu nuávlu
nuáĐi nuáđi
N _ nye'skis saahâ
nyeLi nye'le
nyeRi nye're
nyes'ki nyeski
nyev'vi nyeVi
nábbá náábá
nággu náágu
nááLu náálu
nááppáš náppáá
náárááš nááráá
nähki näähki
näidi nääidi
N _ näimilito ulguubeln
nävdi näävdi
nävli näävli
nääLi nääli
nääpi näävi
o'rnijduMe o'rnijdume
o'rnijdâh o'rnijduv
o'skolâš o'skolii
o'vdebáš o'vdebáá
oLes ollás
oMo omo
oMâdâh oMâduv
N _ oRo joskâ!
N _ oRo siijvost!
N _ oRo sijvuht!
oberjâš oberjáá
oco oso
ohtâ oovtâ
ohtâvuotâ ohtâvuođâ
N _ olgooš ulguu
oljo o'ljo
N _ olkkâm maNe
ollâgumos ollâgummoos
olmoošlâš olmoošlii
oomâs oommâs
N _ oornigist leđe
oovdiš ovdii
oovdâš ovdâš
oođâ ođđâm
opsâ oopsâ
ordo o'rdo
ordâ oordâ
orrâ oorâ
orttâ oortâ
oskovâš oskováá
osto o'sto
pa'ldos paldos
N _ paJaluv keččâđ
paJe paje
paSe pase
N _ paSe vuoi'ŋâ
paaRâ paarâ
paaimân paimân
paainâ painuu
paalgâs palgâs
paargâs pargâs
paasnik paasnikeh
paccâhâš paccâháá
paimâlâs paimâlii
pakkâ paakâ
paldâ paaldâ
panttâ paantâ
pargo pa'rgo
passaamus passaamuu
peeLi pele
peeRi pere
peeci peesi
peeljis piäl'jás
peeljâs peljâs
peenuv pennuu
peerbil piär'bál
peesi peesi
peivi peeivi
